Sl. No.,College Name,Email,Contact No.,Link
1,"Government Polytechnic College, Ajmer",gpc.ajmer@rajasthan.gov.in,0145-2695195,http://hte.rajasthan.gov.in/college/gpcajmer
2,"Government Polytechnic College, Alwar",gpc.alwar@rajasthan.gov.in,0144-2701645,http://hte.rajasthan.gov.in/college/gpcalwar
3,"Government Polytechnic College Bagidora, Banswara",gpc.banswara@rajasthan.gov.in,0000-0000000,http://hte.rajasthan.gov.in/college/gpcbagidora
4,"Government Polytechnic College, Banswara",gpc.banswara@rajasthan.gov.in,0296-2254729,http://hte.rajasthan.gov.in/college/gpcbanswara
5,"Government Polytechnic College, Baran",gpc.baran@rajasthan.gov.in,0745-3297011,http://hte.rajasthan.gov.in/college/gpcbaran
6,"Government Polytechnic College, Barmer",gpc.barmer@rajasthan.gov.in,0298-2220634,http://hte.rajasthan.gov.in/college/gpcbarmer
7,"Government Polytechnic College,Bikaner",gpc.bikaner@rajasthan.gov.in,0151-2542064,http://hte.rajasthan.gov.in/college/gpcbikaner
8,"Shri Gokul Verma Government Polytechnic College,Bharatpur",gpc.bharatpur@rajasthan.gov.in,0564-4297002,http://hte.rajasthan.gov.in/college/gwpcbharatpur
9,Government Polytechnic College Bhilwara,gpc.bhilwara@rajasthan.gov.in,0148-2250111,http://hte.rajasthan.gov.in/college/gpcbhilwara
10,"Government Polytechnic College, Bundi",gpc.bundi@rajasthan.gov.in,0747-2970021,http://hte.rajasthan.gov.in/college/gpcbundi
11,Government Polytechnic College Chittorgarh,gpc.chittorgarh@rajasthan.gov.in,0147-2240992,http://hte.rajasthan.gov.in/college/gpcchittorgarh
12,"Government Polytechnic College, Churu",gpc.churu@rajasthan.gov.in,0156-2257794,http://hte.rajasthan.gov.in/college/gpcchuru
13,"Rajesh Pilot Government Polytechnic College,Dausa",gpc.dausa@rajasthan.gov.in,0142-7204344,http://hte.rajasthan.gov.in/college/gpcdausa
14,"Rajesh Pilot Government Polytechnic College,Dholpur",gpc.dholpur@rajasthan.gov.in,0142-7204344,https://hte.rajasthan.gov.in/college/www.gpcdholpur.com
