Link,Description
https://dte.rajasthan.gov.in/assets/docs/About_us/Contact%20Persons%20DTE.pdf,
https://dte.rajasthan.gov.in/assets/docs/About_us/Complete%20Prativedan%202023-24.pdf,Annual Progess Report 2023-24
https://dte.rajasthan.gov.in/assets/docs/Emp_Crnr/Emp%20Transfer%20Policy.pdf,Emp. Transfer Policy
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearEngg/7832.pdf,Last date of Direct admission at Institute level for First year (Engineering) for Govt. and Pvt. Polytechnic Colleges is Extended from 27-08-2024 to 31-08-2024
https://dte.rajasthan.gov.in/assets/docs/Admission/Lateral/Date Extend.pdf,Last date of Direct admission at Institute level for II year (Lateral entry) for Govt. and Pvt. Polytechnic Colleges is Extended from 23-08-2024 to 27-08-2024
https://dte.rajasthan.gov.in/assets/docs/Admission/Lateral/Notification.pdf,Notification for the Lateral for Admission 2024-25
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearEngg/VIGAPTI%202024-25.pdf,Notification for the First Year Engg for Admission 2024-25
https://dte.rajasthan.gov.in/assets/docs/Admission/FirstYearNonEngg/Vigyapti%20Non-Engg2024-25.pdf,Notification for the First Year Non-Enng Admission 2024-25
https://dte.rajasthan.gov.in/assets/docs/Circular/NOC.pdf,State Govt. NOC Policy 2023-24
https://dte.rajasthan.gov.in/assets/docs/Circular/NOCPolicy.pdf,State Govt. NOC Policy
https://dte.rajasthan.gov.in/assets/docs/Circular/MBC_July2018.pdf,1% Reservation for MBC
https://dte.rajasthan.gov.in/assets/docs/Circular/BeanchMarkDisability.pdf,5% Reservation for Benchmark Disabilities
https://dte.rajasthan.gov.in/assets/docs/Circular/FeeCommittee.pdf,"Proposed Fee Structure 2017-18, 2018-19 & 2019-2020"
https://dte.rajasthan.gov.in/assets/docs/Circular/KM_order.pdf,Concession for the ward of Kashmiri Migrates for admission
https://dte.rajasthan.gov.in/assets/docs/Circular/TSP_Rservation_order.pdf,Circular for Reservation in Polytechnics for TSP Area candidates
https://dte.rajasthan.gov.in/assets/docs/Circular/Court_case_Circular.pdf,Circular for Court Cases Compliance
https://dte.rajasthan.gov.in/assets/docs/Circular/SpecialyAbledPersons.pdf,Circular for specially abled persons
https://dte.rajasthan.gov.in/assets/docs/Circular/Aishe.pdf,All India Survey of Higher Education (AISHE)
https://dte.rajasthan.gov.in/assets/docs/Circular/notice-3-9-2012.pdf,Circular for Applying branches at AICTE portal
https://dte.rajasthan.gov.in/assets/docs/Circular/Notice-14-9-2012.pdf,Formation of Grievance Redressal
https://dte.rajasthan.gov.in/assets/docs/Circular/Education_Tour.pdf,Educational Tour Permission
https://dte.rajasthan.gov.in/assets/docs/Estt/New Policy 2024.pdf,New Policy 2024 for Pursuing Higher Study
https://dte.rajasthan.gov.in/assets/docs/Estt/CAS%202024.pdf,CAS (Non-Engg.) VI Pay Scale Order
https://dte.rajasthan.gov.in/assets/docs/Estt/Roster of Personnel.pdf,Roster of Personnel
https://dte.rajasthan.gov.in/assets/docs/Estt/CAS_12Dec2017.pdf,Order Regarding CAS [12 Dec. 2017]
https://dte.rajasthan.gov.in/assets/docs/Estt/casorder.pdf,"CAS for the Lecturers, Librarians & PTI Polytechnic Colleges (Engg.) under VI Pay Scales (Dtd. 05.12.2017)"
https://dte.rajasthan.gov.in/assets/docs/Estt/Deptt_Manual_Poly.pdf,Department Manual for Polytechnics
https://dte.rajasthan.gov.in/assets/docs/Estt/New%20Education%20Policy%20.pdf,Policy of Higher Study leave for Colleges
https://dte.rajasthan.gov.in/assets/docs/Estt/Amendment.pdf,Policy of Higher Study leave for Colleges (Amendment on 04-05-2022)
https://dte.rajasthan.gov.in/assets/docs/Estt/Principal_non_egg.pdf,Non Engg. Officer's DPC Order |Principal
https://dte.rajasthan.gov.in/assets/docs/Estt/HOD_Non_engg.pdf,HOD
https://dte.rajasthan.gov.in/assets/docs/Estt/Sr_Lect_non_engg.pdf,Sr. Lecturer
https://dte.rajasthan.gov.in/assets/docs/Rules/202304130406421967902Tech.Edu.2010pdf24_merged.pdf,"Rajasthan Technical Education (Engineering) Rules, 2010"
https://dte.rajasthan.gov.in/assets/docs/Rules/202303160348352548856TechnicalEdu.(Non-Eng.)2010_merged.pdf,"Rajasthan Technical Education (Non-Engineering) Rules, 2010"
https://dte.rajasthan.gov.in/assets/docs/Rules/202309180426584562615Technical1973_merged.pdf,"Rajasthan Technical Education Subordinate Service Rules, 1973"
https://dte.rajasthan.gov.in/assets/docs/Rules/Rule_SFS_course.pdf,Rules for Implementation & Management of Self Finance Courses in Govt. Polytechnics
https://dte.rajasthan.gov.in/assets/docs/Rules/Rule_Space.pdf,Scheme for Providing Facility of Space in Govt. Polytechnics to Pvt. Sector for Educational/Trg. Purpose
https://dte.rajasthan.gov.in/assets/docs/Rules/Play_ground.pdf,Rules for Providing Play Grounds & Buildings of Govt. Polytechnics to Pvt. Sector for Educational & Social Activities
https://dte.rajasthan.gov.in/assets/docs/Rules/IDFrule2011.pdf,IDF Rules - 2011
https://dte.rajasthan.gov.in/assets/docs/Rules/NGFrules2011.pdf,NGF Rules - 2011
https://dte.rajasthan.gov.in/assets/docs/Rules/Sampark_Insp-performa.pdf,Inspection Performa for Sampark Portal
https://dte.rajasthan.gov.in/assets/docs/Roster/Roster.pdf,Establishment Officer (As on 01-04-2024)
https://dte.rajasthan.gov.in/assets/docs/Roster/Roster_001.pdf,Establishment Officer (After Cadre Restructuring)
https://dte.rajasthan.gov.in/assets/docs/Roster/Roster_002.pdf,Administrative Officer (As on 01-04-2024)
https://dte.rajasthan.gov.in/assets/docs/Roster/Roster_003.pdf,Administrative Officer(After Cadre Restructuring)
https://dte.rajasthan.gov.in/assets/docs/Roster/Roster_004.pdf,Private Secretary
https://dte.rajasthan.gov.in/assets/docs/Roster/Roster_005.pdf,Additional Private Secretary
https://dte.rajasthan.gov.in/assets/docs/Roster/Roster_006.pdf,Personal Assistant Grade-I
https://dte.rajasthan.gov.in/assets/docs/Roster/Roster%20of%20personnel.pdf,Roster Of Personnel
https://dte.rajasthan.gov.in/assets/docs/Tender/Bid website.pdf,Tender for Mechanical Lab Items (UBN No.TED2425GLOB00010)
https://dte.rajasthan.gov.in/assets/docs/Tender/TENDER.pdf,Tender for Stationary (UBN No.TED2425GSLB00008)
https://dte.rajasthan.gov.in/assets/docs/Tender/MT.pdf,GEM/2024/B/4682639
https://dte.rajasthan.gov.in/assets/docs/Tender/CHEMICAL.pdf,GEM/2023/B/4321235
https://dte.rajasthan.gov.in/assets/docs/Tender/MECHANICAL.pdf,GEM/2023/B/4321215
https://dte.rajasthan.gov.in/assets/docs/Tender/GeM-Bidding-5424894.pdf,GEM/2023/B/4052555
https://dte.rajasthan.gov.in/assets/docs/Tender/GeM-Bidding-5426025.pdf,GEM/2023/B/4053594
https://dte.rajasthan.gov.in/assets/docs/Tender/GeM-Bidding-5426056.pdf,GEM/2023/B/4053624
https://dte.rajasthan.gov.in/assets/docs/Tender/GeM-Bidding-5426086.pdf,GEM/2023/B/4053651
